,ID,NAME,LAT,LON
0,KVNX,VANCE AFB,36.740617,-98.12771699999999
1,PACG,SITKA,56.852778,-135.529167
2,PAEC,NOME,64.511389,-165.295
3,TJUA,SAN JUAN,18.115667,-66.078167
4,TJRV,JOSE APONTE DE LA TORR,18.256,-65.637
5,TCVG,COVINGTON,38.898056,-84.58
6,TIAH,HOUSTON INTL,30.065,-95.566944
7,TRDU,RALEIGH,36.001944,-78.696944
8,TICH,WICHITA,37.506944,-97.436944
9,KAMX,MIAMI,25.611083,-80.412667
10,KAPX,GAYLORD,44.90635,-84.719533
11,KCXX,BURLINGTON,44.511,-73.166431
12,KFSX,FLAGSTAFF,34.574333,-111.198444
13,KGYX,PORTLAND,43.891306,-70.256361
14,KHNX,SAN JOAQUIN VALLEY,36.314181,-119.632139
15,KHTX,HUNTSVILLE,34.930556,-86.083611
16,TBNA,NASHVILLE,35.98,-86.661944
17,TSTL,ST LOUIS,38.805,-90.488889
18,TTPA,TAMPA,27.86,-82.518056
19,TIAD,WASHINGTON DULLES,39.083889,-77.528889
20,KIND,INDIANAPOLIS,39.7075,-86.280278
21,KINX,TULSA,36.175131,-95.564161
22,KIWX,FT WAYNE,41.358611,-85.7
23,KLOT,CHICAGO,41.604444,-88.084444
24,KMAF,MIDLAND ODESSA,31.943461,-102.18925
25,KCAE,COLUMBIA,33.948722,-81.118278
26,KAKQ,NORFOLK RICH,36.98405,-77.007361
27,KBBX,BEALE AFB,39.495639,-121.631611
28,KBGM,BINGHAMTON,42.199694,-75.984722
29,KBIS,BISMARCK,46.770833,-100.760556
30,KDGX,JACKSON BRANDON,32.279944,-89.984444
31,KEPZ,EL PASO,31.873056,-106.698
32,KFDR,ALTUS AFB,34.362194,-98.976667
33,KFWS,DALLAS,32.573,-97.30315
34,KGJX,GRAND JUNCTION,39.062169,-108.213761
35,KICT,WICHITA,37.654444,-97.443056
36,KLBB,LUBBOCK,33.654139,-101.814167
37,KLSX,ST LOUIS,38.698611,-90.682778
38,KLZK,LITTLE ROCK,34.8365,-92.262194
39,KMLB,MELBOURNE,28.113194,-80.654083
40,KNKX,SAN DIEGO,32.919017,-117.0418
41,KSJT,SAN ANGELO,31.371278,-100.4925
42,PAHG,ANCHORAGE,60.725914,-151.351467
43,KFSD,SIOUX FALLS,43.587778,-96.729444
44,TORD,CHICAGO OHARE,41.796944,-87.858056
45,TDEN,DENVER,39.728056,-104.52611
46,TDTW,DETROIT,42.111111,-83.515
47,TMEM,MEMPHIS,34.896111,-89.993056
48,TSLC,SALT LAKE CITY,40.966944,-111.93
49,KBOX,BOSTON,41.955778,-71.136861
50,KFCX,ROANOKE,37.0244,-80.273969
51,KFSX,FLAGSTAFF,34.574333,-111.198444
52,KHPX,FT CAMPBELL,36.736972,-87.285583
53,KILN,CINCINNATI,39.420483,-83.82145
54,KJGX,ROBINS AFB,32.675683,-83.350833
55,KLTX,WILMINGTON,33.98915,-78.429108
56,KMHX,MOREHEAD CITY,34.775908,-76.876189
57,KMTX,SALT LAKE CITY,41.262778,-112.447778
58,KNQA,MEMPHIS,35.344722,-89.873333
59,KRIW,RIVERTON,43.066089,-108.4773
